"infinitive","infinitive_english","mood","mood_english","tense","tense_english","verb_english","form_1s","form_2s","form_3s","form_1p","form_2p","form_3p","gerund","gerund_english","pastparticiple","pastparticiple_english"
"abandonar","to abandon, leave behind, desert; to quit, give up","Subjuntivo","Subjunctive","Futuro perfecto","Future Perfect","I will have abandoned","hubiere abandonado","hubieres abandonado","hubiere abandonado","hubiéremos abandonado","hubiereis abandonado","hubieren abandonado","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Subjuntivo","Subjunctive","Pluscuamperfecto","Past Perfect","I had abandoned","hubiera abandonado","hubieras abandonado","hubiera abandonado","hubiéramos abandonado","hubierais abandonado","hubieran abandonado","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Imperativo Afirmativo","Imperative Affirmative","Presente","Present","Abandon! Don't abandon!","","abandona","abandonad","","abandone","abandonen","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Imperativo Negativo","Imperative Negative","Presente","Present","Abandon! Don't abandon!","","no abandones","no abandonéis","","no abandone","no abandonen","abandonando","abandoning","abandonado","abandoned"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Indicativo","Indicative","Presente","Present","I board, am boarding","abordo","abordas","aborda","abordamos","abordáis","abordan","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Indicativo","Indicative","Futuro","Future","I will board","abordaré","abordarás","abordará","abordaremos","abordaréis","abordarán","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Indicativo","Indicative","Imperfecto","Imperfect","I was boarding, used to board, boarded","abordaba","abordabas","abordaba","abordábamos","abordabais","abordaban","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Indicativo","Indicative","Pretérito","Preterite","I boarded","abordé","abordaste","abordó","abordamos","abordasteis","abordaron","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Indicativo","Indicative","Condicional","Conditional","I would board","abordaría","abordarías","abordaría","abordaríamos","abordaríais","abordarían","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Indicativo","Indicative","Presente perfecto","Present Perfect","I have boarded","he abordado","has abordado","ha abordado","hemos abordado","habéis abordado","han abordado","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Indicativo","Indicative","Futuro perfecto","Future Perfect","I will have boarded","habré abordado","habrás abordado","habrá abordado","habremos abordado","habréis abordado","habrán abordado","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Indicativo","Indicative","Pluscuamperfecto","Past Perfect","I had boarded","había abordado","habías abordado","había abordado","habíamos abordado","habíais abordado","habían abordado","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Indicativo","Indicative","Pretérito anterior","Preterite (Archaic)","I had boarded","hube abordado","hubiste abordado","hubo abordado","hubimos abordado","hubisteis abordado","hubieron abordado","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Indicativo","Indicative","Condicional perfecto","Conditional Perfect","I would have boarded","habría abordado","habrías abordado","habría abordado","habríamos abordado","habríais abordado","habrían abordado","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Subjuntivo","Subjunctive","Presente","Present","I board, am boarding","aborde","abordes","aborde","abordemos","abordéis","aborden","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Subjuntivo","Subjunctive","Imperfecto","Imperfect","I boarded, was boarding","abordara","abordaras","abordara","abordáramos","abordarais","abordaran","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Subjuntivo","Subjunctive","Futuro","Future","I will board","abordare","abordares","abordare","abordáremos","abordareis","abordaren","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Subjuntivo","Subjunctive","Presente perfecto","Present Perfect","I have boarded, boarded","haya abordado","hayas abordado","haya abordado","hayamos abordado","hayáis abordado","hayan abordado","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Subjuntivo","Subjunctive","Futuro perfecto","Future Perfect","I will have boarded","hubiere abordado","hubieres abordado","hubiere abordado","hubiéremos abordado","hubiereis abordado","hubieren abordado","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Subjuntivo","Subjunctive","Pluscuamperfecto","Past Perfect","I had boarded","hubiera abordado","hubieras abordado","hubiera abordado","hubiéramos abordado","hubierais abordado","hubieran abordado","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Imperativo Afirmativo","Imperative Affirmative","Presente","Present","Board! Don't board!","","aborda","abordad","","aborde","aborden","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Imperativo Negativo","Imperative Negative","Presente","Present","Board! Don't board!","","no abordes","no abordéis","","no aborde","no aborden","abordando","boarding","abordado","boarded"
"abortar","to abort, cause to miscarry; to have a miscarriage","Indicativo","Indicative","Presente","Present","I abort, am aborting","aborto","abortas","aborta","abortamos","abortáis","abortan","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Indicativo","Indicative","Futuro","Future","I will abort","abortaré","abortarás","abortará","abortaremos","abortaréis","abortarán","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Indicativo","Indicative","Imperfecto","Imperfect","I was aborting, used to abort, aborted","abortaba","abortabas","abortaba","abortábamos","abortabais","abortaban","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Indicativo","Indicative","Pretérito","Preterite","I aborted","aborté","abortaste","abortó","abortamos","abortasteis","abortaron","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Indicativo","Indicative","Condicional","Conditional","I would abort","abortaría","abortarías","abortaría","abortaríamos","abortaríais","abortarían","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Indicativo","Indicative","Presente perfecto","Present Perfect","I have aborted","he abortado","has abortado","ha abortado","hemos abortado","habéis abortado","han abortado","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Indicativo","Indicative","Futuro perfecto","Future Perfect","I will have aborted","habré abortado","habrás abortado","habrá abortado","habremos abortado","habréis abortado","habrán abortado","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Indicativo","Indicative","Pluscuamperfecto","Past Perfect","I had aborted","había abortado","habías abortado","había abortado","habíamos abortado","habíais abortado","habían abortado","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Indicativo","Indicative","Pretérito anterior","Preterite (Archaic)","I had aborted","hube abortado","hubiste abortado","hubo abortado","hubimos abortado","hubisteis abortado","hubieron abortado","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Indicativo","Indicative","Condicional perfecto","Conditional Perfect","I would have aborted","habría abortado","habrías abortado","habría abortado","habríamos abortado","habríais abortado","habrían abortado","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Subjuntivo","Subjunctive","Presente","Present","I abort, am aborting","aborte","abortes","aborte","abortemos","abortéis","aborten","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Subjuntivo","Subjunctive","Imperfecto","Imperfect","I aborted, was aborting","abortara","abortaras","abortara","abortáramos","abortarais","abortaran","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Subjuntivo","Subjunctive","Futuro","Future","I will abort","abortare","abortares","abortare","abortáremos","abortareis","abortaren","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Subjuntivo","Subjunctive","Presente perfecto","Present Perfect","I have aborted, aborted","haya abortado","hayas abortado","haya abortado","hayamos abortado","hayáis abortado","hayan abortado","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Subjuntivo","Subjunctive","Futuro perfecto","Future Perfect","I will have aborted","hubiere abortado","hubieres abortado","hubiere abortado","hubiéremos abortado","hubiereis abortado","hubieren abortado","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Subjuntivo","Subjunctive","Pluscuamperfecto","Past Perfect","I had aborted","hubiera abortado","hubieras abortado","hubiera abortado","hubiéramos abortado","hubierais abortado","hubieran abortado","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Imperativo Afirmativo","Imperative Affirmative","Presente","Present","Abort! Don't abort!","","aborta","abortad","","aborte","aborten","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Imperativo Negativo","Imperative Negative","Presente","Present","Abort! Don't abort!","","no abortes","no abortéis","","no aborte","no aborten","abortando","aborting","abortado","aborted"
"abrazar","to hug, embrace","Indicativo","Indicative","Presente","Present","I hug, am hugging","abrazo","abrazas","abraza","abrazamos","abrazáis","abrazan","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Indicativo","Indicative","Futuro","Future","I will hug","abrazaré","abrazarás","abrazará","abrazaremos","abrazaréis","abrazarán","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Indicativo","Indicative","Imperfecto","Imperfect","I was hugging, used to hug, hugged","abrazaba","abrazabas","abrazaba","abrazábamos","abrazabais","abrazaban","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Indicativo","Indicative","Pretérito","Preterite","I hugged","abracé","abrazaste","abrazó","abrazamos","abrazasteis","abrazaron","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Indicativo","Indicative","Condicional","Conditional","I would hug","abrazaría","abrazarías","abrazaría","abrazaríamos","abrazaríais","abrazarían","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Indicativo","Indicative","Presente perfecto","Present Perfect","I have hugged","he abrazado","has abrazado","ha abrazado","hemos abrazado","habéis abrazado","han abrazado","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Indicativo","Indicative","Futuro perfecto","Future Perfect","I will have hugged","habré abrazado","habrás abrazado","habrá abrazado","habremos abrazado","habréis abrazado","habrán abrazado","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Indicativo","Indicative","Pluscuamperfecto","Past Perfect","I had hugged","había abrazado","habías abrazado","había abrazado","habíamos abrazado","habíais abrazado","habían abrazado","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Indicativo","Indicative","Pretérito anterior","Preterite (Archaic)","I had hugged","hube abrazado","hubiste abrazado","hubo abrazado","hubimos abrazado","hubisteis abrazado","hubieron abrazado","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Indicativo","Indicative","Condicional perfecto","Conditional Perfect","I would have hugged","habría abrazado","habrías abrazado","habría abrazado","habríamos abrazado","habríais abrazado","habrían abrazado","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Subjuntivo","Subjunctive","Presente","Present","I hug, am hugging","abrace","abraces","abrace","abracemos","abracéis","abracen","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Subjuntivo","Subjunctive","Imperfecto","Imperfect","I hugged, was hugging","abrazara","abrazaras","abrazara","abrazáramos","abrazarais","abrazaran","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Subjuntivo","Subjunctive","Futuro","Future","I will hug","abrazare","abrazares","abrazare","abrazáremos","abrazareis","abrazaren","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Subjuntivo","Subjunctive","Presente perfecto","Present Perfect","I have hugged, hugged","haya abrazado","hayas abrazado","haya abrazado","hayamos abrazado","hayáis abrazado","hayan abrazado","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Subjuntivo","Subjunctive","Futuro perfecto","Future Perfect","I will have hugged","hubiere abrazado","hubieres abrazado","hubiere abrazado","hubiéremos abrazado","hubiereis abrazado","hubieren abrazado","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Subjuntivo","Subjunctive","Pluscuamperfecto","Past Perfect","I had hugged","hubiera abrazado","hubieras abrazado","hubiera abrazado","hubiéramos abrazado","hubierais abrazado","hubieran abrazado","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Imperativo Afirmativo","Imperative Affirmative","Presente","Present","Hug! Don't hug!","","abraza","abrazad","","abrace","abracen","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Imperativo Negativo","Imperative Negative","Presente","Present","Hug! Don't hug!","","no abraces","no abracéis","","no abrace","no abracen","abrazando","hugging","abrazado","hugged"
"abrir","to open","Indicativo","Indicative","Presente","Present","I open, am opening","abro","abres","abre","abrimos","abrís","abren","abriendo","opening","abierto","opened"
"abrir","to open","Indicativo","Indicative","Futuro","Future","I will open","abriré","abrirás","abrirá","abriremos","abriréis","abrirán","abriendo","opening","abierto","opened"
"abrir","to open","Indicativo","Indicative","Imperfecto","Imperfect","I was opening, used to open, opened","abría","abrías","abría","abríamos","abríais","abrían","abriendo","opening","abierto","opened"
"abrir","to open","Indicativo","Indicative","Pretérito","Preterite","I opened","abrí","abriste","abrió","abrimos","abristeis","abrieron","abriendo","opening","abierto","opened"
"abrir","to open","Indicativo","Indicative","Condicional","Conditional","I would open","abriría","abrirías","abriría","abriríamos","abriríais","abrirían","abriendo","opening","abierto","opened"
"abrir","to open","Indicativo","Indicative","Presente perfecto","Present Perfect","I have opened","he abierto","has abierto","ha abierto","hemos abierto","habéis abierto","han abierto","abriendo","opening","abierto","opened"
"abrir","to open","Indicativo","Indicative","Futuro perfecto","Future Perfect","I will have opened","habré abierto","habrás abierto","habrá abierto","habremos abierto","habréis abierto","habrán abierto","abriendo","opening","abierto","opened"
"abrir","to open","Indicativo","Indicative","Pluscuamperfecto","Past Perfect","I had opened","había abierto","habías abierto","había abierto","habíamos abierto","habíais abierto","habían abierto","abriendo","opening","abierto","opened"
"abrir","to open","Indicativo","Indicative","Pretérito anterior","Preterite (Archaic)","I had opened","hube abierto","hubiste abierto","hubo abierto","hubimos abierto","hubisteis abierto","hubieron abierto","abriendo","opening","abierto","opened"
"abrir","to open","Indicativo","Indicative","Condicional perfecto","Conditional Perfect","I would have opened","habría abierto","habrías abierto","habría abierto","habríamos abierto","habríais abierto","habrían abierto","abriendo","opening","abierto","opened"
"abrir","to open","Subjuntivo","Subjunctive","Presente","Present","I open, am opening","abra","abras","abra","abramos","abráis","abran","abriendo","opening","abierto","opened"
"abrir","to open","Subjuntivo","Subjunctive","Imperfecto","Imperfect","I opened, was opening","abriera","abrieras","abriera","abriéramos","abrierais","abrieran","abriendo","opening","abierto","opened"
"abrir","to open","Subjuntivo","Subjunctive","Futuro","Future","I will open","abriere","abrieres","abriere","abriéremos","abriereis","abrieren","abriendo","opening","abierto","opened"
"abrir","to open","Subjuntivo","Subjunctive","Presente perfecto","Present Perfect","I have opened, opened","haya abierto","hayas abierto","haya abierto","hayamos abierto","hayáis abierto","hayan abierto","abriendo","opening","abierto","opened"
"abrir","to open","Subjuntivo","Subjunctive","Futuro perfecto","Future Perfect","I will have opened","hubiere abierto","hubieres abierto","hubiere abierto","hubiéremos abierto","hubiereis abierto","hubieren abierto","abriendo","opening","abierto","opened"
"abrir","to open","Subjuntivo","Subjunctive","Pluscuamperfecto","Past Perfect","I had opened","hubiera abierto","hubieras abierto","hubiera abierto","hubiéramos abierto","hubierais abierto","hubieran abierto","abriendo","opening","abierto","opened"
"abrir","to open","Imperativo Afirmativo","Imperative Affirmative","Presente","Present","Open! Don't open!","","abre","abrid","","abra","abran","abriendo","opening","abierto","opened"
"abrir","to open","Imperativo Negativo","Imperative Negative","Presente","Present","Open! Don't open!","","no abras","no abráis","","no abra","no abran","abriendo","opening","abierto","opened"
"aburrir","to bore; to tire, weary","Indicativo","Indicative","Presente","Present","I bore, am boring","aburro","aburres","aburre","aburrimos","aburrís","aburren","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Indicativo","Indicative","Futuro","Future","I will bore","aburriré","aburrirás","aburrirá","aburriremos","aburriréis","aburrirán","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Indicativo","Indicative","Imperfecto","Imperfect","I was boring, used to bore, bored","aburría","aburrías","aburría","aburríamos","aburríais","aburrían","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Indicativo","Indicative","Pretérito","Preterite","I bored","aburrí","aburriste","aburrió","aburrimos","aburristeis","aburrieron","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Indicativo","Indicative","Condicional","Conditional","I would bore","aburriría","aburrirías","aburriría","aburriríamos","aburriríais","aburrirían","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Indicativo","Indicative","Presente perfecto","Present Perfect","I have bored","he aburrido","has aburrido","ha aburrido","hemos aburrido","habéis aburrido","han aburrido","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Indicativo","Indicative","Futuro perfecto","Future Perfect","I will have bored","habré aburrido","habrás aburrido","habrá aburrido","habremos aburrido","habréis aburrido","habrán aburrido","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Indicativo","Indicative","Pluscuamperfecto","Past Perfect","I had bored","había aburrido","habías aburrido","había aburrido","habíamos aburrido","habíais aburrido","habían aburrido","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Indicativo","Indicative","Pretérito anterior","Preterite (Archaic)","I had bored","hube aburrido","hubiste aburrido","hubo aburrido","hubimos aburrido","hubisteis aburrido","hubieron aburrido","aburriendo","boring","aburrido","bored"
